STATION,DATE,DATE_STR,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_C,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_C,MAX_ATTRIBUTES,MIN,MIN_C,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
54823099999,2019/1/1,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",26,-3.3,8,4.4,8,1040.1,8,17.8,8,12.5,8,2.9,8,5.8,999.9,34.2,1.2,*,20.3,-6.5, ,0,I,999.9,0
54823099999,2019/1/2,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",29.1,-1.6,8,7.2,8,1036.6,8,14.5,8,8.9,8,2.4,8,3.9,999.9,38.5,3.6,*,20.3,-6.5, ,0,I,999.9,0
54823099999,2019/1/3,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",34,1.1,8,15.1,8,1034,8,12.2,8,6.4,8,4.1,8,5.8,999.9,40.8,4.9,*,24.6,-4.1, ,0,I,999.9,0
54823099999,2019/1/4,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.2,0.1,8,9.2,8,1033.4,8,11.5,8,10,8,5.1,8,5.8,999.9,39.2,4,*,27.1,-2.7,*,0,I,999.9,0
54823099999,2019/1/5,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",30.6,-0.8,8,6.2,8,1032.8,8,10.9,8,17.7,8,4.4,8,7.8,999.9,37.4,3,*,24.4,-4.2,*,0,I,999.9,0
54823099999,2019/1/6,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",30.9,-0.6,8,16.9,8,1031.9,8,10,8,7.8,8,3.4,8,5.8,999.9,39.6,4.2,*,23.5,-4.7, ,0,I,999.9,0
54823099999,2019/1/7,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.3,0.2,8,12.2,8,1032.8,8,10.9,8,9.3,7,2.9,8,3.9,999.9,40.1,4.5,*,25.7,-3.5, ,0,I,999.9,0
54823099999,2019/1/8,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",28.9,-1.7,8,-0.3,8,1038.2,8,16.1,8,18.6,8,5.1,8,11.7,999.9,33.3,0.7,*,25.3,-3.7,*,0,I,999.9,0
54823099999,2019/1/9,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",29,-1.7,8,11.6,8,1032.7,8,10.7,8,16.3,8,3.6,8,7.8,999.9,32,0,*,24.6,-4.1, ,0,I,999.9,0
54823099999,2019/1/10,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",31.5,-0.3,8,23,8,1027.7,8,5.9,8,6.9,8,3.4,8,5.8,999.9,36,2.2,*,26.2,-3.2, ,0,I,999.9,0
54823099999,2019/1/11,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",33.4,0.8,8,26.2,8,1024.9,8,3.3,8,6,7,2.4,8,3.9,999.9,36.7,2.6,*,28.9,-1.7,*,0,I,999.9,0
54823099999,2019/1/12,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",34.1,1.2,8,22.6,8,1026.5,8,4.8,8,3.8,7,2.2,8,3.9,999.9,44.6,7,*,26.6,-3,*,0,I,999.9,0
54823099999,2019/1/13,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",30.9,-0.6,8,24.7,8,1029.2,8,7.4,8,2.5,8,2.4,8,3.9,999.9,37.4,3,*,25.9,-3.4, ,0,I,999.9,0
54823099999,2019/1/14,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.8,0.4,8,22,8,1029.3,8,7.5,8,3.6,8,3.6,8,9.7,999.9,38.5,3.6,*,26.4,-3.1, ,0,I,999.9,0
54823099999,2019/1/15,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",22.1,-5.5,8,-10.5,8,1037.1,8,14.7,8,18.6,8,4.6,8,9.7,999.9,25.3,-3.7,*,18.5,-7.5,*,0,I,999.9,0
54823099999,2019/1/16,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",28.9,-1.7,8,-7.2,8,1029.5,8,7.6,8,18.6,8,4.4,8,7.8,999.9,36,2.2,*,15.8,-9, ,99.99, ,999.9,10000
54823099999,2019/1/17,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",36.1,2.3,8,1.7,8,1027.3,8,5.7,8,18,8,4.4,8,5.8,999.9,44.8,7.1,*,26.8,-2.9, ,0,I,999.9,0
54823099999,2019/1/18,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",39.2,4,8,14.7,8,1024.6,8,3.2,8,14.7,8,3.4,8,7.8,999.9,45.3,7.4,*,30.2,-1, ,0,I,999.9,0
54823099999,2019/1/19,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",34.3,1.3,8,16.7,8,1027.9,8,6.3,8,12.4,8,3.4,8,5.8,999.9,41,5,*,27.1,-2.7,*,0,I,999.9,0
54823099999,2019/1/20,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.8,0.4,8,3.9,8,1032.9,8,11,8,18.6,8,4.4,7,7.8,999.9,40.3,4.6,*,26.8,-2.9, ,0,I,999.9,0
54823099999,2019/1/21,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",37.9,3.3,8,10.2,8,1024.9,8,3.4,8,12.4,8,3.4,8,5.8,999.9,47.3,8.5,*,27.9,-2.3, ,0,I,999.9,0
54823099999,2019/1/22,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",41.3,5.2,8,3.1,8,1021.7,8,0.4,8,17.3,8,4.1,8,5.8,999.9,52,11.1,*,31.5,-0.3, ,0,I,999.9,0
54823099999,2019/1/23,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",42.4,5.8,8,5.6,8,1024.8,8,3.6,8,17.4,8,4.4,8,5.8,999.9,55.8,13.2,*,32.7,0.4, ,0,I,999.9,0
54823099999,2019/1/24,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",45.5,7.5,8,16.9,8,1025.8,8,4.7,8,10.7,8,5.3,8,7.8,999.9,54.3,12.4,*,33.4,0.8, ,0,I,999.9,0
54823099999,2019/1/25,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.5,0.3,8,8.8,8,1036.8,8,15,8,18.1,8,5.6,8,9.7,999.9,40.1,4.5,*,24.1,-4.4,*,0,I,999.9,0
54823099999,2019/1/26,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",34.7,1.5,8,2.6,8,1034.3,8,12.5,8,18.2,8,4.1,8,9.7,999.9,43,6.1,*,23,-5, ,0,I,999.9,0
54823099999,2019/1/27,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",38.1,3.4,8,12.6,8,1026.3,8,4.8,8,15.7,8,5.3,8,13.6,999.9,44.1,6.7,*,30.9,-0.6, ,0,I,999.9,0
54823099999,2019/1/28,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",37.8,3.2,8,-0.1,8,1028.6,8,7.1,8,18.6,8,3.6,8,5.8,999.9,43.9,6.6,*,31.3,-0.4, ,0,I,999.9,0
54823099999,2019/1/29,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",42,5.6,8,13.5,8,1025.6,8,4.3,8,14.4,8,4.6,8,9.7,999.9,47.7,8.7,*,33.1,0.6,*,0,I,999.9,0
54823099999,2019/1/30,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",37.2,2.9,8,17.3,8,1029.2,8,7.7,8,15,8,6.6,8,9.7,999.9,43.2,6.2,*,29.8,-1.2,*,0,I,999.9,0
54823099999,2019/1/31,2019-01,36.6833333,116.9833333,58,"JINAN TSINAN, CH",31.4,-0.3,8,16,8,1031.1,8,9.3,8,17.7,8,5.3,8,7.8,999.9,35.1,1.7,*,29.1,-1.6, ,0,I,999.9,0
54823099999,2019/2/1,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",38.9,3.8,8,18.6,8,1020.3,8,999,8,14.8,8,7.3,8,11.7,999.9,46.4,8,*,27.3,-2.6, ,0,I,999.9,0
54823099999,2019/2/2,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",40.6,4.8,8,29.7,8,1013.8,8,992.7,8,8.6,7,5.3,8,11.7,999.9,45.9,7.7, ,33.3,0.7,*,0,I,999.9,0
54823099999,2019/2/3,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",37.6,3.1,8,12.2,8,1024.5,8,3.1,8,14.6,7,3.9,7,3.9,999.9,43.9,6.6,*,32.2,0.1, ,0,I,999.9,0
54823099999,2019/2/4,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",47.8,8.8,8,17.5,8,1020.1,8,999.1,8,13.7,8,8.7,8,13.6,999.9,53.8,12.1, ,32.7,0.4, ,0,I,999.9,0
54823099999,2019/2/5,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",45.7,7.6,8,26.7,8,1014.5,8,993.6,8,9.5,7,3.4,8,3.9,999.9,56.3,13.5,*,32,0,*,0,I,999.9,0
54823099999,2019/2/6,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",29.5,-1.4,8,24.7,8,1022.3,8,0.7,8,7.2,8,6.3,8,13.6,999.9,33.3,0.7,*,24.4,-4.2,*,0,I,999.9,0
54823099999,2019/2/7,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",25.3,-3.7,8,7.6,8,1033.3,8,11.1,8,18.6,8,7.3,8,11.7,999.9,30.2,-1,*,22.3,-5.4,*,0,I,999.9,0
54823099999,2019/2/8,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",25,-3.9,8,11.6,8,1031.7,8,9.6,8,15.2,8,2.4,8,3.9,999.9,27.1,-2.7,*,21.4,-5.9, ,0,I,999.9,0
54823099999,2019/2/9,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",27.2,-2.7,8,5.7,8,1036.6,8,14.5,8,18.6,8,4.4,8,5.8,999.9,30.7,-0.7,*,21,-6.1, ,0,I,999.9,0
54823099999,2019/2/10,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",27.9,-2.3,8,14.6,8,1034.4,8,12.3,8,13.6,8,5.1,8,9.7,999.9,30.4,-0.9,*,25,-3.9, ,0,I,999.9,0
54823099999,2019/2/11,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",33.8,1,8,20.1,8,1032.5,8,10.7,8,9.9,8,3.6,8,7.8,999.9,41,5,*,26.1,-3.3, ,0,I,999.9,0
54823099999,2019/2/12,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",35.7,2.1,8,24.8,8,1034,8,12.2,8,6.6,8,2.9,8,3.9,999.9,42.1,5.6,*,29.5,-1.4, ,0,I,999.9,0
54823099999,2019/2/13,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",28.6,-1.9,8,25.1,8,1035.7,8,13.7,8,4.4,7,4.1,8,5.8,999.9,31.3,-0.4,*,26.2,-3.2,*,0.14,G,999.9,1000
54823099999,2019/2/14,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",30.2,-1,8,27.6,8,1030.9,8,9,8,2.8,8,2.9,8,5.8,999.9,32.4,0.2,*,26.2,-3.2, ,0.06,G,999.9,101000
54823099999,2019/2/15,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",27.5,-2.5,8,17.8,8,1031.5,8,9.5,8,9.7,8,3.6,8,5.8,999.9,34.7,1.5,*,23,-5,*,0,I,0.8,0
54823099999,2019/2/16,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",28.4,-2,8,5.4,8,1033.2,8,11.1,8,18.6,8,3.9,8,5.8,999.9,35.1,1.7,*,22.3,-5.4, ,0,I,999.9,0
54823099999,2019/2/17,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",33.9,1.1,8,7.7,8,1029,8,7.2,8,18.4,8,3.2,8,3.9,999.9,41,5,*,23.5,-4.7, ,0,I,999.9,0
54823099999,2019/2/18,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.3,0.2,8,23.1,8,1023.4,8,1.7,8,11,8,2.7,8,3.9,999.9,35.6,2,*,27.1,-2.7,*,0.01,G,999.9,1000
54823099999,2019/2/19,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",32.1,0.1,8,26.6,8,1024.6,8,2.9,8,4.1,8,3.1,7,3.9,999.9,40.5,4.7,*,25.9,-3.4, ,0.01,E,999.9,0
54823099999,2019/2/20,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",35.5,1.9,8,21.3,8,1030.4,8,8.7,8,7.8,8,2.9,8,3.9,999.9,46.6,8.1,*,26.4,-3.1, ,0,I,999.9,0
54823099999,2019/2/21,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",39.8,4.3,8,19.4,8,1027.9,8,6.5,8,9.7,8,2.4,8,3.9,999.9,49.1,9.5,*,26.8,-2.9, ,0,I,999.9,0
54823099999,2019/2/22,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",41.1,5.1,8,18.3,8,1027.2,8,5.9,8,8.8,8,3.9,8,7.8,999.9,52.3,11.3, ,32.9,0.5,*,0,I,999.9,0
54823099999,2019/2/23,2019-02,36.6833333,116.9833333,58,"JINAN TSINAN, CH",44.2,6.8,8,17.7,8,1025.7,8,4.5,8,8.6,8,3.2,6,3.9,999.9,56.3,13.5,*,31.8,-0.1, ,0,I,999.9,0
